node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-0.1361061,-0.0054900562,-0.2265805,0.014386866,0.07722852,-0.089575924,-0.39406624,-0.0861506,0.13684973,0.025299728,0.06485264,-0.4301925,0.16284677,0.065239236,-0.2886539,0.012461733,-0.00015383922,0.5227376,0.021912074,-0.22768512,-0.26783422,0.1194005,-0.3163397,0.1219822,-0.0953685,0.35518685,0.09742561,-0.35209072,-0.110335045,0.072781876,-0.15233938,0.033424344,-0.0435332,0.123223335,0.15951502,-0.18271896,-0.1607296,0.05600945,0.06440678,0.1651144,0.2760849,0.07105336,0.18407162,-0.029871996,0.10123191,0.076680616,0.057900306,-0.0021685495,0.35417148,0.08712117,0.1620833,0.07236726,-0.13912183,0.018996775,-0.07380324,-0.027524035,-0.13549253,-0.1129891,0.055440985,-0.008847851,0.40546674,-0.00017086416,0.2305859,-0.15298915,-0.013148533,0.32633302,-0.1971339,0.098212495,0.39629984,-0.29176366,-0.10272275,-0.16259357,0.12716119,-0.15977779,-0.0793404,-0.28470594,0.109539986,0.141824,0.036851805,-0.2197309,-0.110734716,0.04366666,0.76493114,-0.22966361,0.09041875,0.06661921,-0.49039084,0.03887329,0.95872474,0.12273842,0.2505827,-0.08057997,0.07266953,-0.124488845,-0.084961146,0.03313624,-0.034702428,0.10688896,0.033741105,-0.14144243,-0.08873381,0.65099895,-0.14786929,-0.22214417,0.28347647,0.05885359,-0.22827254,0.036535572,0.020090826,0.1946097,-0.25096896,-0.18197852,0.08126952,0.052314304,0.19286641,0.070420034,0.19737755,0.05790852,-0.0026413838,0.021697845,-0.13644296,-0.093134895,0.31573036,-0.037416995,0.18483922,0.085020944,0.004417359,-0.09594156
1,-0.08690563,-0.009622764,-0.111686096,-0.013826216,0.10232678,-0.1455575,-0.40492958,-0.13383356,0.11534333,0.024006533,-0.04119176,-0.43800426,0.22901441,0.0079262685,-0.21599838,0.027400367,-0.024829743,0.4681899,-0.016503511,-0.22740941,-0.2805459,0.18118773,-0.31134182,-0.009387843,-0.07299703,0.38526338,0.086417064,-0.24508874,-0.09671019,0.14632654,-0.18373564,0.038015623,-0.013593107,0.08950242,0.11195624,-0.16374302,-0.19139078,0.029845893,0.1293583,0.14953488,0.24072541,-0.054762542,0.122720376,0.033727016,0.07386705,0.045538418,0.07295812,-0.029616304,0.37513462,0.040393546,0.1063012,0.094765194,-0.051415946,-0.030776715,-0.0733893,0.055539757,-0.06298013,-0.11997624,0.048147295,-0.010138239,0.37378532,-0.009417813,0.19494091,-0.13723432,-0.042347156,0.30119294,-0.1833795,-0.024126727,0.38329738,-0.23362525,-0.09106666,-0.09686501,0.098334216,-0.27601808,-0.061578274,-0.30462435,0.13489196,0.16854438,0.030112997,-0.09513402,-0.0888193,0.014279247,0.6469021,-0.21968083,0.11262426,0.069857895,-0.4237789,0.027763965,0.91978025,0.084906586,0.30164483,-0.009486198,0.09974368,-0.1645666,-0.021648789,0.024982631,-0.038303487,0.11971611,0.15561217,-0.091186486,-0.15780549,0.7008214,-0.18274978,-0.18782486,0.24927066,0.0935076,-0.12934981,0.07658468,0.03471775,0.17694795,-0.24206723,-0.14613974,0.09136178,0.09510322,0.2600209,0.102267236,0.11230312,-0.004529696,-0.009710946,-0.055207975,-0.19754544,-0.14376578,0.30314684,-0.030553175,0.068799675,0.102570996,-0.010587611,-0.115047514
2,-0.15864623,-0.013947703,-0.14923012,0.06771114,0.09099898,-0.11874783,-0.4530608,-0.07452874,0.18866074,0.012649549,-0.005845651,-0.45637834,0.23963878,0.038607113,-0.31629658,-0.021037819,0.048252083,0.5451499,-0.110607386,-0.258766,-0.26735204,0.1667517,-0.40868863,-0.011719799,-0.09754123,0.4176081,0.1142143,-0.31490117,-0.17936115,0.23194043,-0.19105233,0.011906568,-0.016485434,0.097102664,0.17952849,-0.21456328,-0.17157346,0.05817662,0.1551745,0.19796552,0.26559252,0.048097946,0.23383972,0.007662664,0.16376823,0.078737564,0.09357187,-0.06001114,0.34934062,0.04044037,0.17447169,0.08152525,-0.12679757,0.028414547,-0.110073686,0.003120821,-0.10152751,-0.15624677,0.024652373,-0.020821037,0.4202882,-0.031391613,0.15646292,-0.15117992,-0.052002154,0.34441125,-0.25667065,-0.014799232,0.37582898,-0.26258025,-0.09453958,-0.15492034,0.07026933,-0.1824201,-0.1068303,-0.27139056,0.09462847,0.21008271,-0.0014316663,-0.1954413,-0.03537205,0.07136712,0.7471177,-0.21618426,0.11759334,0.058562476,-0.5574229,-0.008828841,1.0235491,0.061462253,0.2799351,0.01740595,0.08939171,-0.15239343,-0.078769624,0.08821822,-0.070234746,0.06346219,0.079402655,-0.123132244,-0.19191666,0.71518517,-0.16305691,-0.21147892,0.3289459,0.020148948,-0.17529646,0.09969157,-0.00085843867,0.26533282,-0.23547873,-0.12393105,0.047016323,0.06358283,0.24208723,0.10336375,0.13408744,-0.018726682,-0.010688728,-0.08021642,-0.22315219,-0.1927979,0.30177373,0.029749988,0.14614677,0.026005229,0.026917845,-0.11500915
3,-0.10783,0.044866312,-0.07165253,0.017765205,0.047728285,-0.08898943,-0.43846345,-0.10771425,0.236132,-0.07992208,-0.01387435,-0.41151667,0.18374838,0.020297293,-0.17954715,0.019831436,0.040449906,0.54423726,0.00558945,-0.14883547,-0.21767506,0.10723119,-0.40943545,-0.0013550986,-0.03736212,0.38589588,0.09585789,-0.26519343,-0.14854461,0.09085898,-0.17943454,0.008502253,0.014349546,0.14910847,0.16142744,-0.13650514,-0.19496346,0.02320702,0.08233812,0.16735506,0.2851509,0.029029487,0.2076455,-0.023790818,0.09867469,0.020073116,0.068826474,-0.09969772,0.3003481,0.010664584,0.14375141,0.16822968,-0.105620384,-0.012349322,-0.101732284,0.0134913605,-0.0949302,-0.20864034,-0.0057066204,0.03306904,0.35962692,-0.15479769,0.13693504,-0.1846753,-0.10998737,0.31561914,-0.14756644,-0.042120587,0.37713403,-0.31451002,-0.13027076,-0.10445645,0.057024624,-0.15460065,-0.063041344,-0.17872247,0.10011703,0.2593094,-0.05140221,-0.13554963,-0.09662251,-0.0029220395,0.74235004,-0.17795421,0.09167305,0.10947807,-0.4444338,0.01617718,0.91666555,0.03414622,0.306141,0.012547561,0.14612514,-0.1399402,0.021966044,0.03791517,-0.04132355,0.118469104,0.16306968,-0.07289058,-0.10668053,0.7048629,-0.1543927,-0.2154521,0.28768346,0.0665314,-0.15831378,0.15224604,0.073317185,0.22255062,-0.17238346,-0.19610858,-0.0061836373,0.061334126,0.23596255,0.11178863,0.10890344,-0.15564652,0.004566885,-0.044981387,-0.21060464,-0.16505492,0.28053814,-0.0019769645,0.08965962,0.051018003,0.06448532,-0.12955546
4,-0.058273725,0.032212216,-0.16187547,-0.204963,0.055383485,-0.0689124,-0.33552444,-0.20249385,0.0582974,0.053048097,-0.101510674,-0.37553093,0.083294556,0.044870093,-0.17540199,0.13607249,-0.0051730387,0.53716254,0.09737889,-0.21916088,-0.22363782,0.123355076,-0.3061141,0.051111452,-0.10498837,0.32434815,0.11089484,-0.32045758,-0.04055073,-0.06252156,-0.17419372,0.05160836,0.007748626,0.095479935,-0.049429514,-0.14719771,-0.15409403,0.039638273,0.072364934,0.2310396,0.22922572,-0.08273259,0.14814435,-0.0927345,0.012972392,0.06842983,0.16037527,-0.037851684,0.34886616,0.09835717,0.2989083,0.15796548,-0.1253645,-0.11154654,-0.12759659,0.01762464,-0.09283638,-0.14940001,0.03273707,0.03143336,0.4021306,0.0149686895,0.21160072,-0.05429279,0.051068895,0.2762155,-0.12912521,0.04214207,0.40429503,-0.33738902,-0.091753304,-0.022896107,0.060020108,-0.1761877,-0.026986359,-0.25359115,0.24126932,0.11312601,0.0022327192,-0.055475064,-0.11921734,-0.008188423,0.71166325,-0.22364503,0.12856725,0.05616273,-0.3848922,0.039479546,0.9206991,0.08356351,0.3209569,-0.05731597,0.12434629,-0.09542881,-0.04225961,-0.08857617,-0.039298743,0.15531255,0.113096826,-0.093864895,-0.07239444,0.6629955,-0.19106212,-0.26709366,0.17124549,0.16033562,-0.041549172,0.10927084,0.07881373,0.17458345,-0.2561068,-0.18108948,0.059110694,0.1285556,0.27559856,0.13566364,0.066066355,-0.095545046,-0.07033297,0.043897726,-0.23231292,-0.093959525,0.33036304,-0.23262075,0.086606875,0.122520775,0.00013361033,-0.13735095
5,-0.09493355,-0.008223451,-0.14477384,-0.019782007,0.020289436,-0.095145226,-0.39961514,-0.043935873,0.16257307,0.09836285,0.0063684303,-0.5646809,0.2532742,-0.047224388,-0.24118625,-0.10734391,0.19283138,0.55293065,-0.0648464,-0.18688044,-0.30676773,0.1855909,-0.4178932,-0.030211132,-0.14337908,0.42646313,0.08674165,-0.32515162,-0.07256271,0.118815005,-0.14353092,0.012345876,-0.06114666,0.20924443,0.13245022,-0.25090292,-0.15502873,0.030105345,0.17270735,0.18650135,0.35031497,-0.049495704,0.218464,-0.15317379,0.24166194,0.07592122,0.18569975,-0.13000154,0.31984454,0.058754735,0.33413535,0.16038322,-0.15184143,0.03718488,-0.10060462,0.1050196,-0.07753351,-0.22878651,-0.07460199,-0.05711848,0.41191027,-0.029074406,0.16339743,-0.11069021,-0.06298063,0.3569455,-0.15781006,-0.04738552,0.5901152,-0.40600392,-0.010317057,-0.19291686,0.031442225,-0.22228023,-0.002657283,-0.35568497,0.030778598,0.20384225,0.047085673,-0.25438586,0.008741468,0.19393854,0.801269,-0.21984845,0.21803512,0.07508422,-0.5554082,-0.015331905,0.94514203,0.12229684,0.315209,0.024520313,0.07242338,-0.06570355,-0.045691635,0.00015575439,-0.0059249327,0.0055729076,0.14483842,-0.14504385,-0.06914745,0.748255,-0.21817094,-0.2512727,0.2891357,0.12158652,-0.2594655,0.19446607,-0.0668654,0.30964488,-0.23244813,-0.20058294,0.16868143,0.11289545,0.3197875,0.14913909,0.28237924,0.03316149,-0.024571158,-0.09045112,-0.30732286,-0.17232597,0.36601835,0.022266777,0.20666307,0.01953833,-0.061785128,-0.09527433
6,-0.08344295,0.031224152,-0.1140178,-0.14715746,0.07228995,-0.102749296,-0.36772493,-0.21003503,0.08378635,0.0060310997,-0.13229153,-0.3699534,0.07470526,0.0424556,-0.1828971,0.12592536,-0.03408527,0.5553746,0.05479467,-0.25371778,-0.20964888,0.19506529,-0.3108975,0.024244672,-0.12626429,0.35776994,0.11243259,-0.30236623,-0.05799618,0.010236163,-0.15637816,0.00022844784,0.008878432,0.06319685,-0.04488115,-0.16506721,-0.18781656,0.042825762,0.103479765,0.23948547,0.23633733,-0.057657003,0.18313643,-0.08380902,-0.009467721,0.103513494,0.13134995,-0.022851313,0.36685687,0.15563378,0.29186735,0.09212486,-0.0878513,-0.08089681,-0.13437179,0.050019726,-0.025980331,-0.15745942,0.03338223,0.050895732,0.36464608,0.029981557,0.19420636,-0.08675727,0.07853835,0.2751387,-0.14627117,0.0486634,0.39812344,-0.29110688,-0.09230429,0.013865929,0.05978473,-0.21666369,-0.06896301,-0.26930493,0.22691466,0.12582725,0.019375615,-0.01484878,-0.14002033,0.001668686,0.69929063,-0.22916855,0.111151375,0.0666626,-0.39943057,0.04893994,0.93511975,0.044807035,0.33092088,-0.053529944,0.12956327,-0.12276487,-0.03913534,-0.06298661,-0.10344373,0.19770095,0.11892813,-0.12211846,-0.10769789,0.6933479,-0.18303962,-0.27170753,0.18523522,0.16417572,-0.04380683,0.07317975,0.115962,0.17090644,-0.28054935,-0.12635402,0.07033412,0.098637864,0.2763251,0.147172,0.092764795,-0.08464639,-0.05445799,0.0009971857,-0.24185961,-0.11042428,0.31281406,-0.19000109,0.026597336,0.12181257,-0.026605658,-0.11579473
7,-0.15800732,0.0762256,-0.18049538,0.12624833,0.10692787,-0.110577665,-0.48655972,0.09212075,0.2505112,-0.09096512,0.10966466,-0.40330747,0.20090234,0.008016003,-0.30588675,-0.102234446,-0.051045552,0.56488574,-0.13981391,-0.17908409,-0.2812845,0.13072951,-0.3938515,0.065015554,-0.12553957,0.39710283,0.08066347,-0.43835473,-0.09023812,0.18766057,-0.12552428,0.10210651,0.021763172,0.13790335,0.23633687,-0.22870786,-0.1175317,0.028577954,0.024051908,0.09614887,0.23392747,0.08243236,0.12290901,0.026460405,0.07439149,0.1541132,0.05863633,-0.05282644,0.4402216,0.0701472,0.004525967,0.045632135,0.00082011893,-0.00036528893,-0.035417236,0.068489745,-0.11925545,-0.085330255,-0.057531513,-0.029593214,0.34669587,-0.003865298,0.21220446,-0.15572295,-0.09401102,0.23530284,-0.26928824,0.013687702,0.36986524,-0.27514374,-0.20106062,-0.18417114,0.08356692,-0.2772336,-0.17294924,-0.27960187,0.08084223,0.19184679,0.05466912,-0.23451008,-0.08956126,-0.015646541,0.70135427,-0.314606,0.04734546,0.009479908,-0.5322792,0.12177728,0.9888413,0.09836995,0.2708742,0.0009602541,0.13918602,-0.061078843,-0.1761812,0.09857246,-0.053944036,0.18885252,0.051881857,-0.16414751,-0.12242398,0.66036457,0.043739893,-0.21943669,0.27240977,0.005740108,-0.3023523,-0.023844324,0.036491755,0.2370542,-0.22874172,-0.17233945,0.02925797,0.04468203,0.18135116,0.019183377,0.2109681,0.041244335,0.15372401,-0.0836283,-0.14705846,-0.033110403,0.28474265,0.13338356,0.14441001,0.076866165,-0.10713098,-0.10402482
8,-0.15382288,0.02124491,-0.31632057,0.058227576,-0.04167332,-0.050568245,-0.37053087,-0.00010292232,0.21411747,0.046211228,0.15885027,-0.5218673,0.1772983,-0.055769056,-0.2465511,-0.16984008,0.0756644,0.56762826,-0.013372015,-0.08730064,-0.32311475,0.06625722,-0.44659218,0.21666111,-0.054413732,0.45235157,0.12067613,-0.42534778,-0.05676654,0.09344761,-0.07561083,0.019357027,-0.011488091,0.22567704,0.23349291,-0.2255424,-0.101459466,0.043880373,0.049084853,0.04414316,0.32070968,0.14421684,0.14097166,-0.038322203,0.263004,0.08986354,0.026190221,-0.070758596,0.30653775,0.0025579724,0.179601,0.18942544,-0.18215984,0.0626456,-0.041223604,0.08282589,-0.17438771,-0.1914948,-0.07860015,-0.012679948,0.41082072,-0.09734441,0.20655797,-0.18556865,-0.13337556,0.32610428,-0.13852043,0.043093413,0.514061,-0.329574,-0.08137858,-0.25247046,0.06947219,-0.06583914,-0.046546556,-0.17356265,-0.0012071207,0.2329262,-0.026583128,-0.34532523,-0.08041913,0.12095512,0.8113723,-0.27229384,0.087089,0.04713279,-0.57881474,-0.008097526,0.95047665,0.1627539,0.22448623,0.0058182287,0.1365903,0.031559892,-0.08425546,0.062157027,0.006808959,-0.018607188,0.07592465,-0.14790645,0.0014135353,0.6485839,-0.15368572,-0.20026866,0.35096124,0.0419462,-0.36717674,0.15714836,-0.024650227,0.3009537,-0.21475025,-0.15760343,0.07628834,0.06980485,0.20033026,0.040117193,0.27131465,0.025801362,0.04721176,-0.0435712,-0.18693125,-0.10071082,0.32482302,0.10976555,0.3181885,0.048604414,-0.06631703,-0.0884308
9,-0.09575597,0.039173342,-0.19440518,0.014362097,0.07689169,-0.1292433,-0.36956084,-0.015846185,0.11395449,-0.05996306,0.095014215,-0.37408942,0.17400804,-0.0379636,-0.22567955,-0.077332534,-0.11019535,0.41481322,-0.016010933,-0.15482572,-0.27934295,0.12199401,-0.2960572,0.07274724,-0.049408052,0.35641125,0.06174779,-0.31365603,-0.028620908,0.10424541,-0.123726174,0.06678481,0.017699834,0.13064727,0.14444798,-0.166497,-0.10747147,0.035843577,0.027006507,0.067381114,0.20204449,0.0057461523,0.044591866,0.10734272,0.018388283,0.09543435,0.0019018818,-0.02328275,0.40235537,0.015049254,-0.04128103,0.09168185,-0.0050014146,-0.043741442,0.009418052,0.058214024,-0.087893635,-0.048993066,0.02531499,-0.025178283,0.28890985,-0.001548104,0.22484702,-0.090019,-0.10060562,0.25215548,-0.21085921,0.023881717,0.2906157,-0.19299334,-0.15831077,-0.10458583,0.12434324,-0.27949667,-0.10328784,-0.21393959,0.1296287,0.15060036,0.04131262,-0.17002866,-0.15226422,-0.021831473,0.5945134,-0.26046076,0.054837763,0.026100615,-0.38907778,0.12020228,0.8439499,0.11042559,0.23594786,0.0054673,0.08952289,-0.087584175,-0.10076696,0.042877022,-0.027645774,0.17571306,0.09471288,-0.09940724,-0.108493805,0.6086573,-0.044123314,-0.18186799,0.19820313,0.02980115,-0.227952,0.02019907,0.037406895,0.18489233,-0.20640193,-0.121223204,0.075086005,0.054525796,0.18823324,0.04747825,0.13731043,-0.017911447,0.09154646,-0.041740958,-0.11579705,-0.0175373,0.24677223,0.04005722,0.13359076,0.13527459,-0.053387716,-0.1143302
